order_id,customer_id,order_placed_at,order_status,total_amount_paid,payment_finalized_date,customer_first_name,customer_last_name,transaction_seq,customer_sales_seq,nvsr,running_clv,fdos
1,1,2018-01-01,returned,25.00,2026-08-22,Michael,P.,1,1,new,25.00,2018-01-01
10,7,2018-01-14,completed,26.00,2018-01-14,Martin,M.,10,1,new,26.00,2018-01-14
100,100,2025-02-15,shipped,25.00,2025-02-15,Jean,M.,100,1,new,25.00,2025-02-15
101,84,2025-02-15,shipped,,,Christina,R.,101,3,return,36.00,2018-01-17
102,42,2025-02-15,shipped,,,Diana,S.,102,3,return,27.00,2018-02-04
103,27,2025-02-15,shipped,,,Benjamin,B.,103,3,return,27.00,2018-02-21
104,66,2025-02-15,placed,,,Adam,W.,104,4,return,39.00,2018-02-17
11,99,2018-01-14,completed,27.00,2018-01-14,Mary,G.,11,1,new,27.00,2018-01-14
12,59,2018-01-15,completed,1.00,2018-01-15,Adam,A.,12,1,new,1.00,2018-01-15
13,84,2018-01-17,completed,19.00,2018-01-17,Christina,R.,13,1,new,19.00,2018-01-17
14,40,2018-01-17,returned,3.00,2018-01-17,Maria,A.,14,1,new,3.00,2018-01-17
15,25,2018-01-17,completed,22.00,2018-01-17,Victor,H.,15,1,new,22.00,2018-01-17
16,39,2018-01-18,completed,10.00,2018-01-18,Louise,W.,16,1,new,10.00,2018-01-18
17,71,2018-01-18,completed,2.00,2018-01-18,Gerald,C.,17,1,new,2.00,2018-01-18
18,64,2018-01-20,returned,13.00,2018-01-20,David,C.,18,2,return,30.00,2018-01-05
19,54,2018-01-22,completed,6.00,2018-01-22,Rose,M.,19,2,return,12.00,2018-01-07
2,3,2018-01-02,completed,20.00,2018-01-02,Kathleen,P.,2,1,new,20.00,2018-01-02
20,20,2018-01-23,completed,15.00,2018-01-23,Anna,A.,20,1,new,15.00,2018-01-23
21,71,2018-01-23,completed,12.00,2018-01-23,Gerald,C.,21,2,return,14.00,2018-01-18
22,86,2018-01-24,completed,8.00,2018-01-24,Jason,C.,22,1,new,8.00,2018-01-24
23,22,2018-01-26,return_pending,23.00,2018-01-26,Sean,H.,23,1,new,23.00,2018-01-26
24,3,2018-01-27,completed,26.00,2018-01-27,Kathleen,P.,24,2,return,46.00,2018-01-02
25,51,2018-01-28,completed,42.00,2018-01-28,Howard,R.,25,1,new,42.00,2018-01-28
26,32,2018-01-28,completed,30.00,2018-01-28,Thomas,O.,26,1,new,30.00,2018-01-28
27,94,2018-01-29,completed,23.00,2018-01-29,Gregory,H.,27,2,return,24.00,2018-01-04
28,8,2018-01-29,completed,19.00,2018-01-29,Frank,R.,28,1,new,19.00,2018-01-29
29,57,2018-01-31,completed,12.00,2018-01-31,Paul,W.,29,1,new,12.00,2018-01-31
3,94,2018-01-04,completed,1.00,2018-01-04,Gregory,H.,3,1,new,1.00,2018-01-04
30,69,2018-02-02,completed,13.00,2018-02-02,Janet,P.,30,1,new,13.00,2018-02-02
31,16,2018-02-02,completed,12.00,2018-02-02,Amanda,H.,31,1,new,12.00,2018-02-02
32,28,2018-02-04,completed,3.00,2018-02-04,Lisa,W.,32,1,new,3.00,2018-02-04
33,42,2018-02-04,completed,22.00,2018-02-04,Diana,S.,33,1,new,22.00,2018-02-04
34,38,2018-02-06,completed,15.00,2018-02-06,Dennis,J.,34,1,new,15.00,2018-02-06
35,80,2018-02-08,completed,29.00,2018-02-08,Phillip,H.,35,1,new,29.00,2018-02-08
36,85,2018-02-10,completed,9.00,2018-02-10,Theresa,M.,36,1,new,9.00,2018-02-10
37,1,2018-02-10,completed,23.00,2018-02-10,Michael,P.,37,2,return,48.00,2018-01-01
38,51,2018-02-10,completed,15.00,2018-02-10,Howard,R.,38,2,return,57.00,2018-01-28
39,26,2018-02-11,completed,8.00,2018-02-11,Aaron,R.,39,1,new,8.00,2018-02-11
4,50,2018-01-05,completed,25.00,2018-01-05,Billy,L.,4,1,new,25.00,2018-01-05
40,33,2018-02-13,completed,14.00,2018-02-13,Katherine,M.,40,1,new,14.00,2018-02-13
41,99,2018-02-14,completed,17.00,2018-02-14,Mary,G.,41,2,return,44.00,2018-01-14
42,92,2018-02-16,completed,17.00,2018-02-16,Willie,O.,42,1,new,17.00,2018-02-16
43,31,2018-02-17,completed,18.00,2018-02-17,Jane,G.,43,1,new,18.00,2018-02-17
44,66,2018-02-17,completed,11.00,2018-02-17,Adam,W.,44,1,new,11.00,2018-02-17
45,22,2018-02-17,completed,5.00,2018-02-17,Sean,H.,45,2,return,28.00,2018-01-26
